Filename,Depth,Activations-Params,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:1924_output:78_depth:5_arch:bottleneck_batch:851.out,7,"[(962, 1851850), (481, 463203), (240, 115680), (120, 28920), (78, 9438), (78, 6162), (78, 6162)]",2037,2481415,851,1537,27.649350649350648,0.2437692307692309,0.16924242424242422,0.03395454545454546,0.12131343283582087
input:2461_output:185_depth:1_arch:pyramid_batch:892.out,2,"[(1230, 3028260), (185, 227735)]",1415,3255995,892,1545,26.05128205128205,0.2148333333333333,0.16638235294117648,0.03854411764705881,0.1261818181818182
input:2080_output:303_depth:7_arch:gradual_batch:118.out,8,"[(1827, 3801987), (1574, 2877272), (1321, 2080575), (1068, 1411896), (815, 871235), (562, 458592), (309, 173967), (303, 93930)]",7779,11769454,118,1701,52.857142857142854,0.5103896103896103,0.40520588235294114,0.11489705882352952,0.13631428571428572
input:654_output:74_depth:2_arch:uniform_batch:15.out,3,"[(654, 428370), (654, 428370), (74, 48470)]",1382,905210,15,1471,38.48717948717949,0.37207692307692286,0.059833333333333356,0.00998484848484849,0.013895522388059712
input:3918_output:927_depth:6_arch:gradual_batch:911.out,7,"[(3420, 13402980), (2922, 9996162), (2424, 7085352), (1926, 4670550), (1428, 2751756), (930, 1328970), (927, 863037)]",13977,40098807,911,2313,59.31645569620253,0.5724155844155847,0.5309142857142858,0.1928695652173913,0.41660869565217384
input:84_output:10_depth:3_arch:bottleneck_batch:914.out,5,"[(42, 3570), (21, 903), (10, 220), (10, 110), (10, 110)]",93,4913,914,1451,8.531645569620252,0.10236363636363636,0.006030769230769235,0.0010000000000000007,0.0010000000000000007
input:3586_output:392_depth:4_arch:uniform_batch:810.out,5,"[(3586, 12862982), (3586, 12862982), (3586, 12862982), (3586, 12862982), (392, 1406104)]",14736,52858032,810,2559,67.44303797468355,0.6547012987012987,0.6345555555555552,0.24485915492957744,0.4873521126760562
input:897_output:30_depth:6_arch:gradual_batch:655.out,7,"[(753, 676194), (609, 459186), (465, 283650), (321, 149586), (177, 56994), (33, 5874), (30, 1020)]",2388,1632504,655,1497,31.641025641025642,0.29449350649350653,0.15905970149253723,0.029208955223880576,0.09581538461538464
input:2011_output:239_depth:2_arch:uniform_batch:830.out,3,"[(2011, 4046132), (2011, 4046132), (239, 480868)]",4261,8573132,830,1639,36.55844155844156,0.32732051282051267,0.3044857142857144,0.08452857142857144,0.23464705882352938
input:1780_output:74_depth:9_arch:pyramid_batch:469.out,10,"[(890, 1585090), (445, 396495), (222, 99012), (111, 24753), (74, 8288), (74, 5550), (74, 5550), (74, 5550), (74, 5550), (74, 5550)]",2112,2141388,469,1517,35.311688311688314,0.3128205128205128,0.15101562500000001,0.02260937500000001,0.08987499999999998
input:3543_output:385_depth:2_arch:uniform_batch:498.out,3,"[(3543, 12556392), (3543, 12556392), (385, 1364440)]",7471,26477224,498,1993,56.76923076923077,0.5313116883116883,0.5077464788732396,0.19402857142857133,0.3206714285714288
input:530_output:13_depth:3_arch:gradual_batch:306.out,4,"[(358, 190098), (186, 66774), (14, 2618), (13, 195)]",571,259685,306,1457,22.32051282051282,0.20269230769230767,0.034840579710144946,0.003942028985507249,0.01533823529411766
input:1607_output:304_depth:10_arch:uniform_batch:48.out,11,"[(1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (1607, 2584056), (304, 488832)]",16374,26329392,48,1975,67.2051282051282,0.6683116883116885,0.5586250000000001,0.24583333333333332,0.14186301369863005
input:1499_output:204_depth:3_arch:bottleneck_batch:395.out,5,"[(749, 1123500), (374, 280500), (204, 76500), (204, 41820), (204, 41820)]",1735,1564140,395,1497,32.49367088607595,0.29161538461538467,0.13860294117647062,0.0267205882352941,0.07785507246376816
input:1996_output:5_depth:1_arch:uniform_batch:470.out,2,"[(1996, 3986012), (5, 9985)]",2001,3995997,470,1551,33.69736842105263,0.28884415584415585,0.22847761194029845,0.0546268656716418,0.16052941176470586
input:3276_output:721_depth:6_arch:uniform_batch:362.out,7,"[(3276, 10735452), (3276, 10735452), (3276, 10735452), (3276, 10735452), (3276, 10735452), (3276, 10735452), (721, 2362717)]",20377,66775429,362,2795,77.8974358974359,0.760090909090909,0.7129571428571425,0.30801449275362325,0.46131884057971
input:3963_output:836_depth:1_arch:gradual_batch:860.out,2,"[(836, 3313904), (836, 699732)]",1672,4013636,860,1555,27.692307692307693,0.21083116883116876,0.1757727272727273,0.039333333333333324,0.14003030303030303
input:3311_output:715_depth:5_arch:bottleneck_batch:481.out,7,"[(1655, 5481360), (827, 1369512), (715, 592020), (715, 511940), (715, 511940), (715, 511940), (715, 511940)]",6057,9490652,481,1669,38.243589743589745,0.3312692307692308,0.2883472222222221,0.07536111111111114,0.17330555555555552
input:3943_output:630_depth:6_arch:gradual_batch:268.out,7,"[(3391, 13374104), (2839, 9629888), (2287, 6495080), (1735, 3969680), (1183, 2053688), (631, 747104), (630, 398160)]",12696,36667704,268,2205,68.27848101265823,0.6594155844155842,0.6196470588235298,0.2480588235294117,0.33014925373134313
input:2160_output:219_depth:9_arch:pyramid_batch:845.out,10,"[(1080, 2333880), (540, 583740), (270, 146070), (219, 59349), (219, 48180), (219, 48180), (219, 48180), (219, 48180), (219, 48180), (219, 48180)]",3423,3412119,845,1549,35.01298701298701,0.30716666666666664,0.21798550724637683,0.046985507246376776,0.1481746031746032
input:79_output:11_depth:9_arch:gradual_batch:573.out,10,"[(72, 5760), (65, 4745), (58, 3828), (51, 3009), (44, 2288), (37, 1665), (30, 1140), (23, 713), (16, 384), (11, 187)]",407,23719,573,1453,20.102564102564102,0.1910389610389611,0.019363636363636357,0.0016969696969696983,0.0029696969696969716
input:3654_output:583_depth:4_arch:pyramid_batch:908.out,5,"[(1827, 6677685), (913, 1668964), (583, 532862), (583, 340472), (583, 340472)]",4489,9560455,908,1675,34.88461538461539,0.30135897435897435,0.27945588235294117,0.07627941176470587,0.19804477611940297
input:3284_output:267_depth:6_arch:pyramid_batch:727.out,7,"[(1642, 5393970), (821, 1348903), (410, 337020), (267, 109737), (267, 71556), (267, 71556), (267, 71556)]",3941,7404298,727,1633,34.620253164556964,0.3090128205128204,0.2584927536231883,0.06817391304347824,0.1737826086956522
input:3113_output:403_depth:2_arch:uniform_batch:743.out,3,"[(3113, 9693882), (3113, 9693882), (403, 1254942)]",6629,20642706,743,1893,47.65384615384615,0.43625974025974035,0.4159285714285715,0.13275714285714285,0.31082608695652186
input:390_output:50_depth:10_arch:bottleneck_batch:159.out,12,"[(195, 76245), (97, 19012), (50, 4900), (50, 2550), (50, 2550), (50, 2550), (50, 2550), (50, 2550), (50, 2550), (50, 2550), (50, 2550), (50, 2550)]",792,123107,159,1453,36.756410256410255,0.3616883116883117,0.026727272727272707,0.0029393939393939413,0.0049090909090909116
input:295_output:28_depth:9_arch:bottleneck_batch:333.out,11,"[(147, 43512), (73, 10804), (36, 2664), (28, 1036), (28, 812), (28, 812), (28, 812), (28, 812), (28, 812), (28, 812), (28, 812)]",480,63700,333,1453,26.628205128205128,0.25885897435897437,0.02153623188405798,0.001985507246376813,0.003926470588235297
input:3496_output:339_depth:2_arch:gradual_batch:461.out,3,"[(1918, 6707246), (340, 652460), (339, 115599)]",2597,7475305,461,1607,36.78481012658228,0.317974025974026,0.2711617647058824,0.06110294117647063,0.17571641791044776
input:2019_output:270_depth:7_arch:pyramid_batch:39.out,8,"[(1009, 2038180), (504, 509040), (270, 136350), (270, 73170), (270, 73170), (270, 73170), (270, 73170), (270, 73170)]",3133,3049420,39,1521,38.38461538461539,0.369871794871795,0.12823529411764703,0.022382352941176457,0.032328358208955216
input:358_output:60_depth:3_arch:uniform_batch:601.out,4,"[(358, 128522), (358, 128522), (358, 128522), (60, 21540)]",1134,407106,601,1461,18.871794871794872,0.1820909090909091,0.06861764705882355,0.008250000000000004,0.0324776119402985
